name,capacity,technology,form factor,connectivity,release date,more tech info,dram inside,release year,capacity TBytes,power_idle,power_avg,power_max
Gigabyte Aorus Gen5 10000,4 TB,TLCMicron232-layer,M.2 2280,PCIe 5.0 x4,Aug 2022,Phison E26,2048 MB(1 TB model),2022,4,0,0,0
Gigabyte Aorus 5000E,500 GB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,Nov 2022,Phison E21T,DRAM-less(64 MB HMB),2022,0.48828125,0,0,6
Gigabyte Aorus 5000E,1 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,Nov 2022,Phison E21T,DRAM-less(64 MB HMB),2022,1,0,0,6
Gigabyte AI TOP 100E,1 TB,pSLCKioxia112-layer,M.2 2280,PCIe 4.0 x4,Jun 2024,Phison E18,1024 MB(1 TB model),2024,1,0,0,12
Gigabyte AI TOP 100E,2 TB,pSLCKioxia112-layer,M.2 2280,PCIe 4.0 x4,Jun 2024,Phison E18,1024 MB(1 TB model),2024,2,0,0,12
Goodram PX500 (Phison E13 + Kioxia BiCS5),512 GB,TLCKioxia112-layer,M.2 2280,PCIe 3.0 x4,2022,Phison E13,DRAM-less(64 MB HMB),2022,0.5,0,0,0
Goodram PX500 (SM2263XT + YTMC BCT1B),256 GB,TLCYMTC64-layer,M.2 2280,PCIe 3.0 x4,Mar 2020,SM2263XT,DRAM-less(64 MB HMB),2020,0.25,0,0,0
Goodram PX500 (SM2263XT + YTMC BCT1B),512 GB,TLCYMTC64-layer,M.2 2280,PCIe 3.0 x4,Mar 2020,SM2263XT,DRAM-less(64 MB HMB),2020,0.5,0,0,0
Goodram PX500 (SM2263XT + YTMC BCT1B),1 TB,TLCYMTC64-layer,M.2 2280,PCIe 3.0 x4,Mar 2020,SM2263XT,DRAM-less(64 MB HMB),2020,1,0,0,0
HighPoint Rocket 1608,16 TB,TLCMicron232-layer,Add-In Card,PCIe 5.0 x16,Apr 2024,Phison E26,4096 MB(16 TB model),2024,16,0,8,0
Hikvision Hiksemi FUTURE,512 GB,TLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Jul 2023,MAP1602A,DRAM-less(32 MB HMB),2023,0.5,0,0,4
Hikvision Hiksemi FUTURE,1 TB,TLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Jul 2023,MAP1602A,DRAM-less(32 MB HMB),2023,1,0,0,4
Hikvision Hiksemi FUTURE,2 TB,TLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Jul 2023,MAP1602A,DRAM-less(32 MB HMB),2023,2,0,0,4
Hikvision Hiksemi FUTURE,4 TB,TLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Jul 2023,MAP1602A,DRAM-less(32 MB HMB),2023,4,0,0,6
Hikvision HikSemi CC700,512 GB,TLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Oct 2022,MAP1602A,DRAM-less(64 MB HMB),2022,0.5,0,0,4
Hikvision HikSemi CC700,1 TB,TLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Oct 2022,MAP1602A,DRAM-less(64 MB HMB),2022,1,0,0,4
Hikvision HikSemi CC700,2 TB,TLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Oct 2022,MAP1602A,DRAM-less(64 MB HMB),2022,2,0,0,4
Hikvision Hiksemi C4000ECO,512 GB,TLCYMTC128-layer,M.2 2280,PCIe 4.0 x4,2022,MAP1602A,DRAM-less(64 MB HMB),2022,0.5,0,0,4
Hikvision Hiksemi C4000ECO,1 TB,TLCYMTC128-layer,M.2 2280,PCIe 4.0 x4,2022,MAP1602A,DRAM-less(64 MB HMB),2022,1,0,0,4
Hikvision Hiksemi C4000ECO,2 TB,TLCYMTC128-layer,M.2 2280,PCIe 4.0 x4,2022,MAP1602A,DRAM-less(64 MB HMB),2022,2,0,0,0
Hikvision HikSemi C4000,512 GB,TLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Oct 2022,MAP1602A,DRAM-less(64 MB HMB),2022,0.5,0,0,4
Hikvision HikSemi C4000,1 TB,TLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Oct 2022,MAP1602A,DRAM-less(64 MB HMB),2022,1,0,0,4
Hikvision HikSemi C4000,2 TB,TLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Oct 2022,MAP1602A,DRAM-less(64 MB HMB),2022,2,0,0,4
Hikvision E3000,512 GB,TLCYMTC128-layer,M.2 2280,PCIe 3.0 x4,2020,MAP1202A-F1C,DRAM-less(32 MB HMB),2020,0.5,0,0,4
Hikvision E3000,1 TB,TLCYMTC128-layer,M.2 2280,PCIe 3.0 x4,2020,MAP1202A-F1C,DRAM-less(32 MB HMB),2020,1,0,0,4
Hikvision E3000,2 TB,TLCYMTC128-layer,M.2 2280,PCIe 3.0 x4,2020,MAP1202A-F1C,DRAM-less(32 MB HMB),2020,2,0,0,0
Hikvision E100N (MAS1102 + YMTC BCT1B),512 GB,TLCYMTC64-layer,M.2 2280,SATA 6 Gbps,Aug 2021,SM2259XT,DRAM-less,2021,0.5,0.5,0,4
Hikvision E100N (SM2259XT + Micron B47R),128 GB,TLCMicron176-layer,M.2 2280,SATA 6 Gbps,Aug 2021,SM2259XT,DRAM-less,2021,0.125,0.5,0,4
Hikvision E100N (SM2259XT + Micron B47R),256 GB,TLCMicron176-layer,M.2 2280,SATA 6 Gbps,Aug 2021,SM2259XT,DRAM-less,2021,0.25,0.5,0,4
Hikvision E100N (SM2259XT + Micron B47R),512 GB,TLCMicron176-layer,M.2 2280,SATA 6 Gbps,Aug 2021,SM2259XT,DRAM-less,2021,0.5,0.5,0,4
Hikvision E100N (SM2259XT + Micron B47R),1 TB,TLCMicron176-layer,M.2 2280,SATA 6 Gbps,Aug 2021,SM2259XT,DRAM-less,2021,1,0.5,0,4
Hikvision C100,120 GB,QLCIntel144-layer,"2.5""",SATA 6 Gbps,Unknown,MAS1102B-B1C,DRAM-less,nown,0.1171875,0,0,0
Hikvision C100,240 GB,QLCIntel144-layer,"2.5""",SATA 6 Gbps,Unknown,MAS1102B-B1C,DRAM-less,nown,0.234375,0,0,0
Hikvision C100,480 GB,QLCIntel144-layer,"2.5""",SATA 6 Gbps,Unknown,MAS1102B-B1C,DRAM-less,nown,0.46875,0,0,0
HippStor HP600,3 TB,TLCSK Hynix176-layer,U.2,PCIe 4.0 x4,Nov 2023,DP616,Unknown(3 TB model),2023,3,6,8,12
HP S700 Pro,128 GB,TLCMicron32-layer,"2.5""",SATA 6 Gbps,2017,SM2258H,1024 MB(1 TB model),2017,0.125,1,4,4
HP S700 Pro,256 GB,TLCMicron32-layer,"2.5""",SATA 6 Gbps,2017,SM2258H,1024 MB(1 TB model),2017,0.25,1,4,4
HP S700 Pro,512 GB,TLCMicron32-layer,"2.5""",SATA 6 Gbps,2017,SM2258H,1024 MB(1 TB model),2017,0.5,1,4,4
HP S700 Pro,1 TB,TLCMicron32-layer,"2.5""",SATA 6 Gbps,2017,SM2258H,1024 MB(1 TB model),2017,1,1,4,4
HP S700,120 GB,TLCMicron32-layer,"2.5""",SATA 6 Gbps,2017,SM2258XT,DRAM-less,2017,0.1171875,0.5,2,2
HP S700,250 GB,TLCMicron32-layer,"2.5""",SATA 6 Gbps,2017,SM2258XT,DRAM-less,2017,0.244140625,0.5,2,2
HP S700,500 GB,TLCMicron32-layer,"2.5""",SATA 6 Gbps,2017,SM2258XT,DRAM-less,2017,0.48828125,0.5,2,2
HP FX900 Pro,512 GB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,2022,IG5236,1024 MB(1 TB model),2022,0.5,0,0,0
HP FX900 Pro,1 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,2022,IG5236,1024 MB(1 TB model),2022,1,0,0,0
HP FX900 Pro,2 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,2022,IG5236,1024 MB(1 TB model),2022,2,2,4,8
HP FX900 Pro,4 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,2022,IG5236,1024 MB(1 TB model),2022,4,0,0,0
HP FX900,256 GB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,2022,IG5220,DRAM-less(64 MB HMB),2022,0.25,0,0,0
HP FX900,512 GB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,2022,IG5220,DRAM-less(64 MB HMB),2022,0.5,0,0,0
HP FX900,1 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,2022,IG5220,DRAM-less(64 MB HMB),2022,1,0,0,0
HP FX900,2 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,2022,IG5220,DRAM-less(64 MB HMB),2022,2,0,0,0
HP FX700,512 GB,QLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Dec 2023,MAP1602A,DRAM-less(40 MB HMB),2023,0.5,0.05,0,4
HP FX700,1 TB,QLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Dec 2023,MAP1602A,DRAM-less(40 MB HMB),2023,1,0.05,0,4
HP FX700,2 TB,QLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Dec 2023,MAP1602A,DRAM-less(40 MB HMB),2023,2,1,4,6
HP FX700,4 TB,QLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Dec 2023,MAP1602A,DRAM-less(40 MB HMB),2023,4,0.05,0,6
HP EX950,512 GB,TLCMicron64-layer,M.2 2280,PCIe 3.0 x4,Jan 2019,SM2262ENG,1024 MB(1 TB model),2019,0.5,0,0,0
HP EX950,1 TB,TLCMicron64-layer,M.2 2280,PCIe 3.0 x4,Jan 2019,SM2262ENG,1024 MB(1 TB model),2019,1,1,4,8
HP EX950,2 TB,TLCMicron64-layer,M.2 2280,PCIe 3.0 x4,Jan 2019,SM2262ENG,1024 MB(1 TB model),2019,2,1,4,8
HP EX920,256 GB,TLCMicron64-layer,M.2 2280,PCIe 3.0 x4,Jul 2018,SM2262ENG,1024 MB(1 TB model),2018,0.25,1,0,6
HP EX920,512 GB,TLCMicron64-layer,M.2 2280,PCIe 3.0 x4,Jul 2018,SM2262ENG,1024 MB(1 TB model),2018,0.5,1,0,6
HP EX920,1 TB,TLCMicron64-layer,M.2 2280,PCIe 3.0 x4,Jul 2018,SM2262ENG,1024 MB(1 TB model),2018,1,1,0,8
HP EX900,120 GB,TLCMicron64-layer,M.2 2280,PCIe 3.0 x4,2018,SM2263XT,DRAM-less(64 MB HMB),2018,0.1171875,0,0,0
HP EX900,250 GB,TLCMicron64-layer,M.2 2280,PCIe 3.0 x4,2018,SM2263XT,DRAM-less(64 MB HMB),2018,0.244140625,0,0,0
HP EX900,500 GB,TLCMicron64-layer,M.2 2280,PCIe 3.0 x4,2018,SM2263XT,DRAM-less(64 MB HMB),2018,0.48828125,0,0,0
Huawei eKitStor Xtreme 200E,512 GB,QLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Dec 2024,Unknown,DRAM-less,2024,0.5,0,0,0
Huawei eKitStor Xtreme 200E,1 TB,QLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Dec 2024,Unknown,DRAM-less,2024,1,0,0,0
HyperX Savage,240 GB,MLCToshibaPlanar,"2.5""",SATA 6 Gbps,Apr 2015,Phison S10,1024 MB(960 GB model),2015,0.234375,0.5,4,6
HyperX Savage,480 GB,MLCToshibaPlanar,"2.5""",SATA 6 Gbps,Apr 2015,Phison S10,1024 MB(960 GB model),2015,0.46875,0,0,0
HyperX Savage,960 GB,MLCToshibaPlanar,"2.5""",SATA 6 Gbps,Apr 2015,Phison S10,1024 MB(960 GB model),2015,0.9375,0.5,2,6
HyperX Fury RGB,240 GB,TLCToshiba64-layer,"2.5""",SATA 6 Gbps,Sep 2018,88SS1074,256 MB(960 GB model),2018,0.234375,0,0,0
HyperX Fury RGB,480 GB,TLCToshiba64-layer,"2.5""",SATA 6 Gbps,Sep 2018,88SS1074,256 MB(960 GB model),2018,0.46875,6,6,6
HyperX Fury RGB,960 GB,TLCToshiba64-layer,"2.5""",SATA 6 Gbps,Sep 2018,88SS1074,256 MB(960 GB model),2018,0.9375,0,0,0
Inland TN470,1 TB,TLCKioxia162-layer,M.2 2280,PCIe 4.0 x4,2024,Phison E27T,DRAM-less(64 MB HMB),2024,1,1,4,6
Inland TN470,2 TB,TLCKioxia162-layer,M.2 2280,PCIe 4.0 x4,2024,Phison E27T,DRAM-less(64 MB HMB),2024,2,1,4,6
Inland TN446,512 GB,TLCMicron176-layer,M.2 2230,PCIe 4.0 x4,2023,Phison E21T,DRAM-less(64 MB HMB),2023,0.5,0,0,0
Inland TN446,1 TB,TLCMicron176-layer,M.2 2230,PCIe 4.0 x4,2023,Phison E21T,DRAM-less(64 MB HMB),2023,1,1,4,4
Inland TN436,1 TB,TLCKioxia112-layer,M.2 2230,PCIe 4.0 x4,2022,Phison E19T,DRAM-less(64 MB HMB),2022,1,1,4,4
Inland TD510,1 TB,TLCMicron232-layer,M.2 2280,PCIe 5.0 x4,Mar 2023,Phison E26,2048 MB(1 TB model),2023,1,1,0,12
Inland TD510,2 TB,TLCMicron232-layer,M.2 2280,PCIe 5.0 x4,Mar 2023,Phison E26,2048 MB(1 TB model),2023,2,6,8,12
Inland TD510,4 TB,TLCMicron232-layer,M.2 2280,PCIe 5.0 x4,Mar 2023,Phison E26,2048 MB(1 TB model),2023,4,1,0,12
Inland QN446,2 TB,QLCMicron176-layer,M.2 2230,PCIe 4.0 x4,2023,Phison E21T,DRAM-less(64 MB HMB),2023,2,1,4,4
Inland QN322,500 GB,QLCMicron96-layer,M.2 2280,PCIe 3.0 x4,2022,Phison E13T,DRAM-less(64 MB HMB),2022,0.48828125,0,0,0
Inland QN322,1 TB,QLCMicron96-layer,M.2 2280,PCIe 3.0 x4,2022,Phison E13T,DRAM-less(64 MB HMB),2022,1,0,0,0
Inland QN322,2 TB,QLCMicron96-layer,M.2 2280,PCIe 3.0 x4,2022,Phison E13T,DRAM-less(64 MB HMB),2022,2,0,0,0
Inland Prime,500 GB,TLCMicron176-layer,M.2 2280,PCIe 3.0 x4,2021,Phison E15,DRAM-less(64 MB HMB),2021,0.48828125,0,0,0
Inland Prime,1 TB,TLCMicron176-layer,M.2 2280,PCIe 3.0 x4,2021,Phison E15,DRAM-less(64 MB HMB),2021,1,1,4,6
Inland Performance Plus,1 TB,TLCMicron96-layer,M.2 2280,PCIe 4.0 x4,2021,Phison E18,1024 MB(1 TB model),2021,1,0,0,0
Inland Performance Plus,2 TB,TLCMicron96-layer,M.2 2280,PCIe 4.0 x4,2021,Phison E18,1024 MB(1 TB model),2021,2,1,6,10
Intel X25-M G2,80 GB,MLCMicronPlanar,"2.5""",SATA 3 Gbps,Nov 2010,PC29AS21BA0,32 MB(160 GB model),2010,0.078125,0,0,0
Intel X25-M G2,160 GB,MLCMicronPlanar,"2.5""",SATA 3 Gbps,Nov 2010,PC29AS21BA0,32 MB(160 GB model),2010,0.15625,0,0,0
Intel SSD 750,400 GB,MLCIntelPlanar,Add-In Card,PCIe 3.0 x4,Apr 2015,CH29AE41AB0,2560 MB(1.2 TB model),2015,0.390625,6,8,12
Intel SSD 750,800 GB,MLCIntelPlanar,Add-In Card,PCIe 3.0 x4,Apr 2015,CH29AE41AB0,2560 MB(1.2 TB model),2015,0.78125,6,8,12
Intel S3700,400 GB,MLCIntelPlanar,"2.5""",SATA 6 Gbps,Jan 2015,PC29AS21CA0,1024 MB(800 GB model),2015,0.390625,1,6,8
Intel S3700,800 GB,MLCIntelPlanar,"2.5""",SATA 6 Gbps,Jan 2015,PC29AS21CA0,1024 MB(800 GB model),2015,0.78125,1,6,10
Intel DC S3510,80 GB,MLCMicronPlanar,"2.5""",SATA 6 Gbps,May 2015,PC29AS21CB0,Unknown(1.2 TB model),2015,0.078125,1,4,4
Intel DC S3510,120 GB,MLCMicronPlanar,"2.5""",SATA 6 Gbps,May 2015,PC29AS21CB0,Unknown(1.2 TB model),2015,0.1171875,1,4,4
Intel DC S3510,240 GB,MLCMicronPlanar,"2.5""",SATA 6 Gbps,May 2015,PC29AS21CB0,Unknown(1.2 TB model),2015,0.234375,1,4,6
Intel DC S3510,480 GB,MLCMicronPlanar,"2.5""",SATA 6 Gbps,May 2015,PC29AS21CB0,Unknown(1.2 TB model),2015,0.46875,1,6,8
Intel DC S3510,800 GB,MLCMicronPlanar,"2.5""",SATA 6 Gbps,May 2015,PC29AS21CB0,Unknown(1.2 TB model),2015,0.78125,1,6,10
Intel DC P3700,400 GB,MLCIntelPlanar,Add-In Card,PCIe 3.0 x4,Jun 2014,CH29AE41AB0,Unknown(400 GB model),2014,0.390625,6,8,12
Intel 760p,128 GB,TLCMicron64-layer,M.2 2280,PCIe 3.0 x4,Jan 2018,SM2262G,1024 MB(1 TB model),2018,0.125,0.5,0,0
Intel 760p,256 GB,TLCMicron64-layer,M.2 2280,PCIe 3.0 x4,Jan 2018,SM2262G,1024 MB(1 TB model),2018,0.25,0.5,0,0
Intel 760p,512 GB,TLCMicron64-layer,M.2 2280,PCIe 3.0 x4,Jan 2018,SM2262G,1024 MB(1 TB model),2018,0.5,0.5,0,0
Intel 760p,1 TB,TLCMicron64-layer,M.2 2280,PCIe 3.0 x4,Jan 2018,SM2262G,1024 MB(1 TB model),2018,1,0.5,0,0
Intel 760p,2 TB,TLCMicron64-layer,M.2 2280,PCIe 3.0 x4,Jan 2018,SM2262G,1024 MB(1 TB model),2018,2,0.5,0,0
Intel 670p,512 GB,QLCIntel144-layer,M.2 2280,PCIe 3.0 x4,Dec 2020,SM2265,256 MB(1 TB model),2020,0.5,0,0,0
Intel 670p,1 TB,QLCIntel144-layer,M.2 2280,PCIe 3.0 x4,Dec 2020,SM2265,256 MB(1 TB model),2020,1,0,0,0
Intel 670p,2 TB,QLCIntel144-layer,M.2 2280,PCIe 3.0 x4,Dec 2020,SM2265,256 MB(1 TB model),2020,2,1,4,6
Intel 665p,1 TB,QLCIntel96-layer,M.2 2280,PCIe 3.0 x4,Nov 2019,SM2263EN,256 MB(1 TB model),2019,1,1,4,4
Intel 665p,2 TB,QLCIntel96-layer,M.2 2280,PCIe 3.0 x4,Nov 2019,SM2263EN,256 MB(1 TB model),2019,2,0,0,0
Intel 660p,512 GB,QLCMicron64-layer,M.2 2280,PCIe 3.0 x4,Aug 2018,SM2263EN,256 MB(1 TB model),2018,0.5,0,0,0
Intel 660p,1 TB,QLCMicron64-layer,M.2 2280,PCIe 3.0 x4,Aug 2018,SM2263EN,256 MB(1 TB model),2018,1,1,4,6
Intel 660p,2 TB,QLCMicron64-layer,M.2 2280,PCIe 3.0 x4,Aug 2018,SM2263EN,256 MB(1 TB model),2018,2,1,4,6
Intel 545s,256 GB,TLCMicron64-layer,"2.5""",SATA 6 Gbps,Jun 2017,SM2259H,512 MB(512 GB model),2017,0.25,0.5,0,0
Intel 545s,512 GB,TLCMicron64-layer,"2.5""",SATA 6 Gbps,Jun 2017,SM2259H,512 MB(512 GB model),2017,0.5,0.5,0,0
IRDM PRO M.2 SSD,1 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,Apr 2022,Phison E18,1024 MB(1 TB model),2022,1,0,0,0
IRDM PRO M.2 SSD,2 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,Apr 2022,Phison E18,1024 MB(1 TB model),2022,2,0,0,0
IRDM PRO M.2 SSD,4 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,Apr 2022,Phison E18,1024 MB(1 TB model),2022,4,0,0,0
IRDM Pro Gen5,1 TB,TLCMicron232-layer,M.2 2280,PCIe 5.0 x4,Nov 2024,Phison E26,2048 MB(1 TB model),2024,1,0,0,0
IRDM Pro Gen5,2 TB,TLCMicron232-layer,M.2 2280,PCIe 5.0 x4,Nov 2024,Phison E26,2048 MB(1 TB model),2024,2,0,0,0
IRDM Pro Gen5,4 TB,TLCMicron232-layer,M.2 2280,PCIe 5.0 x4,Nov 2024,Phison E26,2048 MB(1 TB model),2024,4,0,0,0
IRDM Pro Gen. 2 (Micron B27A),256 GB,TLCMicron96-layer,"2.5""",SATA 6 Gbps,2020,Phison S12,512 MB(1 TB model),2020,0.25,0,0,0
IRDM Pro Gen. 2 (Micron B27A),512 GB,TLCMicron96-layer,"2.5""",SATA 6 Gbps,2020,Phison S12,512 MB(1 TB model),2020,0.5,0,0,0
IRDM Pro Gen. 2 (Micron B27A),1 TB,TLCMicron96-layer,"2.5""",SATA 6 Gbps,2020,Phison S12,512 MB(1 TB model),2020,1,0,0,0
IRDM M.2 SSD (E12 + Toshiba BiCS3),256 GB,TLCToshiba64-layer,M.2 2280,PCIe 3.0 x4,2021,Phison E12S,1024 MB(1 TB model),2021,0.25,0,0,0
IRDM M.2 SSD (E12 + Toshiba BiCS3),512 GB,TLCToshiba64-layer,M.2 2280,PCIe 3.0 x4,2021,Phison E12S,1024 MB(1 TB model),2021,0.5,0,0,0
IRDM M.2 SSD (E12 + Toshiba BiCS3),1 TB,TLCToshiba64-layer,M.2 2280,PCIe 3.0 x4,2021,Phison E12S,1024 MB(1 TB model),2021,1,0,0,0
IRDM M.2 SSD (E12 + Toshiba BiCS3),2 TB,TLCToshiba64-layer,M.2 2280,PCIe 3.0 x4,2021,Phison E12S,1024 MB(1 TB model),2021,2,0,0,0
IRDM M.2 SSD (E12 + Toshiba BiCS4),512 GB,TLCToshiba96-layer,M.2 2280,PCIe 3.0 x4,2021,Phison E12S,512 MB(512 GB model),2021,0.5,0,0,0
IRDM M.2 SSD (E12S + YMTC BCT1B),512 GB,TLCYMTC64-layer,M.2 2280,PCIe 3.0 x4,2021,Phison E12S,Unknown,2021,0.5,0,0,0
IRDM M.2 SSD (E12S + YMTC BCT1B),1 TB,TLCYMTC64-layer,M.2 2280,PCIe 3.0 x4,2021,Phison E12S,Unknown,2021,1,0,0,0
IRDM CX400 Gen.2 (SpecTek B27B),128 GB,TLCSpecTek96-layer,"2.5""",SATA 6 Gbps,Aug 2018,Phison S11,DRAM-less,2018,0.125,0,0,0
IRDM CX400 Gen.2 (SpecTek B27B),256 GB,TLCSpecTek96-layer,"2.5""",SATA 6 Gbps,Aug 2018,Phison S11,DRAM-less,2018,0.25,0,0,0
IRDM CX400 Gen.2 (SpecTek B27B),512 GB,TLCSpecTek96-layer,"2.5""",SATA 6 Gbps,Aug 2018,Phison S11,DRAM-less,2018,0.5,0,0,0
IRDM CX400 Gen.2 (SpecTek B27B),1 TB,TLCSpecTek96-layer,"2.5""",SATA 6 Gbps,Aug 2018,Phison S11,DRAM-less,2018,1,0,0,0
IRDM CX400 Gen.2 (Toshiba BiCS4),256 GB,TLCToshiba96-layer,"2.5""",SATA 6 Gbps,Unknown,Phison S11,DRAM-less,nown,0.25,0,0,0
IRDM CX400 Gen.2 (Toshiba BiCS3),1 TB,TLCToshiba64-layer,"2.5""",SATA 6 Gbps,Unknown,Phison S11,DRAM-less,nown,1,0,0,0
Kingspec XG7000 Pro,512 GB,TLCYMTC128-layer,M.2 2280,PCIe 4.0 x4,2022,IG5236,1024 MB(1 TB model),2022,0.5,0,0,6
Kingspec XG7000 Pro,1 TB,TLCYMTC128-layer,M.2 2280,PCIe 4.0 x4,2022,IG5236,1024 MB(1 TB model),2022,1,0,4,0
Kingspec XG7000 Pro,2 TB,TLCYMTC128-layer,M.2 2280,PCIe 4.0 x4,2022,IG5236,1024 MB(1 TB model),2022,2,0,4,0
Kingspec XG7000 (Innogrit IG5236 + Intel N38A),4 TB,QLCIntel144-layer,M.2 2280,PCIe 4.0 x4,Apr 2023,IG5236,DRAM-less(64 MB HMB),2023,4,0,0,0
Kingspec XG7000 (SM2268XT + Micron TLC B58R 1Tb),2 TB,TLCMicron232-layer,M.2 2280,PCIe 4.0 x4,Dec 2024,MAP1602A,DRAM-less(64 MB HMB),2024,2,0,0,0
Kingspec XG7000 (MAP1602 + YMTC EET1A TLC 1Tb),512 GB,TLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Apr 2023,MAP1602A,DRAM-less(40 MB HMB),2023,0.5,0,0,0
Kingspec XG7000 (MAP1602 + YMTC EET1A TLC 1Tb),1 TB,TLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Apr 2023,MAP1602A,DRAM-less(40 MB HMB),2023,1,0,0,0
Kingspec XG7000 (MAP1602 + YMTC EET1A TLC 1Tb),2 TB,TLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Apr 2023,MAP1602A,DRAM-less(40 MB HMB),2023,2,0,0,0
Kingspec XG7000 (MAP1602 + YMTC EET1A TLC 1Tb),4 TB,TLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Apr 2023,MAP1602A,DRAM-less(40 MB HMB),2023,4,0,0,0
Kingspec XF Series,512 GB,TLCUnknown,M.2 2280,PCIe 4.0 x4,Jun 2022,TC2200,DRAM-less(64 MB HMB),2022,0.5,0,0,0
Kingspec XF Series,1 TB,TLCUnknown,M.2 2280,PCIe 4.0 x4,Jun 2022,TC2200,DRAM-less(64 MB HMB),2022,1,0,0,0
Kingspec NX Series (SM2263XT),128 GB,TLCUnknown,M.2 2280,PCIe 3.0 x4,Mar 2022,SM2263XT,DRAM-less(64 MB HMB),2022,0.125,0,0,0
Kingspec NX Series (SM2263XT),256 GB,TLCUnknown,M.2 2280,PCIe 3.0 x4,Mar 2022,SM2263XT,DRAM-less(64 MB HMB),2022,0.25,0,0,4
Kingspec NX Series (SM2263XT),512 GB,TLCUnknown,M.2 2280,PCIe 3.0 x4,Mar 2022,SM2263XT,DRAM-less(64 MB HMB),2022,0.5,0,0,4
Kingspec NX Series (SM2263XT),1 TB,TLCUnknown,M.2 2280,PCIe 3.0 x4,Mar 2022,SM2263XT,DRAM-less(64 MB HMB),2022,1,0,0,0
Kingspec NX Series (SM2263XT),2 TB,TLCUnknown,M.2 2280,PCIe 3.0 x4,Mar 2022,SM2263XT,DRAM-less(64 MB HMB),2022,2,0,0,4
Kingspec NX Series (MaxioTech + B27B),128 GB,TLCMicron96-layer,M.2 2280,PCIe 3.0 x4,Mar 2022,MAP1202A-F1C,DRAM-less(64 MB HMB),2022,0.125,0,0,0
Kingspec NX Series (MaxioTech + B27B),256 GB,TLCMicron96-layer,M.2 2280,PCIe 3.0 x4,Mar 2022,MAP1202A-F1C,DRAM-less(64 MB HMB),2022,0.25,0,0,4
Kingspec NX Series (MaxioTech + B27B),512 GB,TLCMicron96-layer,M.2 2280,PCIe 3.0 x4,Mar 2022,MAP1202A-F1C,DRAM-less(64 MB HMB),2022,0.5,0,0,4
Kingspec NX Series (MaxioTech + B27B),1 TB,TLCMicron96-layer,M.2 2280,PCIe 3.0 x4,Mar 2022,MAP1202A-F1C,DRAM-less(64 MB HMB),2022,1,0,0,4
Kingspec NX Series (MaxioTech + B27B),2 TB,TLCMicron96-layer,M.2 2280,PCIe 3.0 x4,Mar 2022,MAP1202A-F1C,DRAM-less(64 MB HMB),2022,2,0,0,4
Kingspec NE Series,128 GB,TLCSpecTek64-layer,M.2 2280,PCIe 3.0 x4,Unknown,SM2263XT,DRAM-less(64 MB HMB),nown,0.125,0,0,0
Kingston UV500,120 GB,TLCToshiba64-layer,"2.5""",SATA 6 Gbps,Apr 2018,88SS1074,1024 MB(960 GB model),2018,0.1171875,0,2,4
Kingston UV500,240 GB,TLCToshiba64-layer,"2.5""",SATA 6 Gbps,Apr 2018,88SS1074,1024 MB(960 GB model),2018,0.234375,0,2,4
Kingston UV500,480 GB,TLCToshiba64-layer,"2.5""",SATA 6 Gbps,Apr 2018,88SS1074,1024 MB(960 GB model),2018,0.46875,0,2,4
Kingston UV500,960 GB,TLCToshiba64-layer,"2.5""",SATA 6 Gbps,Apr 2018,88SS1074,1024 MB(960 GB model),2018,0.9375,0,2,4
